Province,City,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4
QC,Other - Quebec,125,185,165,165,190,170,195,125,165,215,185,160,155,125,220,150,100,105,125,105,115,45,115,110
ON,Toronto,15850,21910,23850,20620,22155,25470,18960,14875,19165,20720,21680,25015,27855,30065,25445,23095,23660,33815,35365,24935,24595,12235,12795,11355
ON,Ottawa - Gatineau,1200,1700,1705,1655,2710,2035,1545,1590,1740,1910,1955,1865,2190,2470,2605,2565,2355,3060,3145,2375,2350,1180,1600,1680
ON,Kitchener - Cambridge - Waterloo,445,705,655,680,1510,810,690,745,770,840,735,885,950,1010,1050,960,870,1225,1430,1055,1100,585,495,860
ON,Hamilton,540,815,815,850,1560,920,870,840,810,905,780,745,985,1030,940,1070,850,1145,1285,860,965,460,550,755
ON,London,365,480,590,550,1335,655,570,745,605,575,610,510,790,620,635,725,745,950,915,720,740,360,410,620
ON,Windsor,300,365,410,730,870,565,340,530,460,450,525,560,535,600,505,590,640,805,895,650,690,195,330,415
ON,St. Catharines - Niagara,140,285,290,210,275,265,230,265,265,295,290,280,315,335,345,325,370,470,435,305,280,170,175,300
ON,Guelph,105,270,190,125,165,210,145,155,190,190,165,190,195,240,240,240,190,270,330,295,225,125,150,180
ON,Oshawa,115,205,195,130,140,205,200,155,175,215,200,200,175,220,220,220,225,305,285,260,215,125,125,145
ON,Barrie,95,125,105,90,90,100,90,75,85,85,135,130,135,120,95,110,120,140,215,115,105,70,55,70
ON,Kingston,75,110,85,115,125,115,125,160,105,110,125,135,150,120,140,165,120,160,200,110,115,75,60,110
ON,Thunder Bay,35,45,50,20,40,45,55,125,40,70,55,55,60,80,60,105,75,90,140,85,60,40,25,35
ON,Leamington,15,35,40,40,55,50,85,80,40,60,55,35,65,35,85,60,70,95,120,55,70,20,20,50
ON,Peterborough,25,35,35,50,45,60,125,110,90,65,65,60,70,65,75,60,70,75,110,60,50,20,35,35
ON,Brantford,25,35,45,40,30,45,50,25,50,55,50,55,50,55,80,50,60,70,80,75,80,30,35,55
ON,Greater Sudbury,30,60,60,35,50,60,30,45,55,50,50,50,55,40,60,60,60,75,85,50,65,35,15,40
ON,Sarnia,20,40,20,30,30,40,15,40,25,35,35,40,45,35,30,50,35,50,45,50,35,25,25,25
ON,Sault Ste. Marie,10,20,10,25,20,20,60,60,15,40,15,25,25,25,35,50,30,45,60,50,25,5,30,25
ON,Chatham-Kent,20,30,40,30,40,45,30,35,25,45,20,30,30,25,25,40,40,40,35,50,25,15,20,25
ON,Belleville,30,25,20,35,25,40,30,30,35,30,35,50,40,45,30,35,50,35,35,35,30,10,15,30
ON,Woodstock,0,20,15,10,15,20,20,15,10,20,15,20,15,10,15,15,30,30,30,35,30,25,15,20
ON,Norfolk,5,10,20,20,5,10,25,5,15,25,15,15,30,20,30,30,20,20,35,40,25,0,15,15
ON,Cornwall,5,15,25,20,15,20,5,15,10,15,20,15,15,25,20,15,15,20,30,20,25,20,5,20
ON,Stratford,10,5,15,25,15,10,0,10,20,10,15,20,15,10,15,30,10,25,15,25,15,10,0,5
ON,North Bay,15,10,20,10,20,15,15,10,15,15,20,10,10,10,10,25,10,25,20,15,10,5,10,10
ON,Orillia,10,0,10,10,5,10,10,0,5,10,10,10,20,10,10,10,15,25,15,15,15,5,0,10
ON,Timmins,15,15,5,10,10,15,10,0,20,0,10,10,15,15,5,15,10,10,30,10,10,5,0,10
ON,Kawartha Lakes,5,10,5,5,15,10,10,5,10,10,10,15,10,10,5,10,10,15,15,15,10,5,10,5
ON,Collingwood,10,10,15,10,20,15,5,0,5,20,20,20,10,15,10,15,10,10,10,15,10,25,0,10
ON,Owen Sound,10,5,10,10,15,5,20,5,10,5,5,0,10,10,10,20,5,5,25,0,10,10,0,5
ON,Cobourg,0,5,0,10,15,10,0,10,15,10,0,10,0,20,10,0,0,10,10,15,5,0,5,10
